# {"t_start": 1587122070.8783438, "env_id": "MountainToyCar-v1"} 
r,l,t
-400.0,400,2.877357
-400.0,400,3.34689
-400.0,400,3.815813
-400.0,400,4.281918
-400.0,400,4.748489
-400.0,400,53.512873
-400.0,400,53.974051
-400.0,400,54.434164
-400.0,400,54.895672
-400.0,400,55.354518
-400.0,400,64.694087
-400.0,400,65.155438
-400.0,400,65.615106
-400.0,400,66.073766
-400.0,400,66.533257
-400.0,400,76.033743
-400.0,400,76.512641
-400.0,400,76.993168
-400.0,400,77.470779
-400.0,400,77.949745
-400.0,400,87.39377
-400.0,400,87.876857
-400.0,400,88.3527
-400.0,400,88.828085
-400.0,400,89.306609
-400.0,400,98.771955
-400.0,400,99.240607
-400.0,400,99.707893
-400.0,400,100.179119
-400.0,400,100.647763
-400.0,400,109.995178
-400.0,400,110.454097
-400.0,400,110.915028
-400.0,400,111.375273
-400.0,400,111.836577
-400.0,400,121.23143
-400.0,400,121.698605
-400.0,400,122.167804
-400.0,400,122.636196
-400.0,400,123.105982
-400.0,400,132.444941
-400.0,400,132.907235
-400.0,400,133.368142
-400.0,400,133.829379
-400.0,400,134.290409
-400.0,400,134.749486
-400.0,400,144.101318
-400.0,400,144.588014
-400.0,400,145.056944
-400.0,400,145.525738
-400.0,400,145.993262
-400.0,400,155.495576
-400.0,400,155.971855
-400.0,400,156.44709
-400.0,400,156.921791
-400.0,400,157.396724
-400.0,400,166.889537
-400.0,400,167.357586
-400.0,400,167.825873
-400.0,400,168.293057
-400.0,400,168.760576
-400.0,400,178.194781
-400.0,400,178.662826
-400.0,400,179.130293
-400.0,400,179.598502
-400.0,400,180.069498
-400.0,400,189.348598
-400.0,400,189.810005
-400.0,400,190.267975
-400.0,400,190.726954
-400.0,400,191.186583
-400.0,400,200.627674
-400.0,400,201.106219
-400.0,400,201.579506
-400.0,400,202.09414
-400.0,400,202.602123
-400.0,400,211.987838
-400.0,400,212.44529
-400.0,400,212.904738
-400.0,400,213.363244
-400.0,400,213.821607
-400.0,400,223.0884
-400.0,400,223.545531
-400.0,400,224.004998
-400.0,400,224.463943
-400.0,400,224.924615
-400.0,400,225.381666
-400.0,400,234.655039
-400.0,400,235.113488
-400.0,400,235.571976
-400.0,400,236.030148
-400.0,400,236.486463
-400.0,400,245.863343
-400.0,400,246.331892
-400.0,400,246.799684
-400.0,400,247.266429
-400.0,400,247.734437
-400.0,400,257.080135
-400.0,400,257.538329
-400.0,400,257.997111
-400.0,400,258.455604
-400.0,400,258.915583
-400.0,400,268.282988
-400.0,400,268.752004
-400.0,400,269.223022
-400.0,400,269.692525
-400.0,400,270.161552
-400.0,400,279.639698
-400.0,400,280.116489
-400.0,400,280.589911
-400.0,400,281.065076
-400.0,400,281.540396
-400.0,400,290.872756
-400.0,400,291.331135
-400.0,400,291.787982
-400.0,400,292.246491
-400.0,400,292.705754
-400.0,400,302.150724
-400.0,400,302.617878
-400.0,400,303.087273
-400.0,400,303.55594
-400.0,400,304.025748
-400.0,400,312.950966
-400.0,400,313.411505
-400.0,400,313.874249
-400.0,400,314.334509
-400.0,400,314.794851
-400.0,400,315.255619
-400.0,400,323.627685
-400.0,400,324.087193
-400.0,400,324.544686
-400.0,400,325.004898
-400.0,400,325.463316
-400.0,400,361.784065
-400.0,400,362.251157
-400.0,400,362.718368
-400.0,400,363.185611
-400.0,400,363.651798
-400.0,400,372.754009
-400.0,400,373.223239
-400.0,400,373.691615
-400.0,400,374.164526
-400.0,400,374.633807
-400.0,400,383.405146
-400.0,400,383.864773
-400.0,400,384.324133
-400.0,400,384.783541
-400.0,400,385.244857
-400.0,400,393.988168
-400.0,400,394.456879
-400.0,400,394.925509
-400.0,400,395.395336
-400.0,400,395.863796
-400.0,400,404.685768
-400.0,400,405.157194
-400.0,400,405.626297
-400.0,400,406.095447
-400.0,400,406.580091
-400.0,400,415.822982
-400.0,400,416.303453
-400.0,400,416.773515
-400.0,400,417.236874
-400.0,400,417.699523
-400.0,400,427.40406
-400.0,400,427.936361
-400.0,400,428.472878
-400.0,400,428.954393
-400.0,400,429.466422
-400.0,400,438.725066
-400.0,400,439.221782
-400.0,400,439.713598
-400.0,400,440.185857
-400.0,400,440.65537
-400.0,400,441.128379
-400.0,400,449.859524
-400.0,400,450.320137
-400.0,400,450.780481
-400.0,400,451.249037
-400.0,400,451.709716
-400.0,400,460.547849
-400.0,400,461.009305
-400.0,400,461.47078
-400.0,400,461.932026
-400.0,400,462.394382
-400.0,400,471.135905
-400.0,400,471.606443
-400.0,400,472.077615
-400.0,400,472.549733
-400.0,400,473.020416
-400.0,400,481.812946
-400.0,400,482.278558
-400.0,400,482.742753
-400.0,400,483.208465
-400.0,400,483.671145
-400.0,400,492.688476
-400.0,400,493.167348
-400.0,400,493.644774
-400.0,400,494.121657
-400.0,400,494.598307
-400.0,400,503.657996
-400.0,400,504.13655
-400.0,400,504.615307
-400.0,400,505.091892
-400.0,400,505.56846
-400.0,400,514.879801
-400.0,400,515.357991
-400.0,400,515.835096
-400.0,400,516.312361
-400.0,400,516.789112
-400.0,400,525.769973
-400.0,400,526.22636
-400.0,400,526.685485
-400.0,400,527.144902
-400.0,400,527.604678
-400.0,400,528.06465
-400.0,400,536.97949
-400.0,400,537.449541
-400.0,400,537.919768
-400.0,400,538.398562
-400.0,400,538.870014
-400.0,400,549.024344
-400.0,400,549.553213
-400.0,400,550.133852
-400.0,400,550.697708
-400.0,400,551.230955
-400.0,400,560.995412
-400.0,400,561.501349
-400.0,400,562.072882
-400.0,400,562.607918
-400.0,400,563.09372
-400.0,400,572.855672
-400.0,400,573.504808
-400.0,400,574.099702
-400.0,400,574.648767
-400.0,400,575.126945
-400.0,400,584.232385
-400.0,400,584.704607
-400.0,400,585.174292
-400.0,400,585.641916
-400.0,400,586.113605
-400.0,400,594.926015
-400.0,400,595.387726
-400.0,400,595.848725
-400.0,400,596.313391
-400.0,400,596.774243
-400.0,400,605.76824
-400.0,400,606.245904
-400.0,400,606.721452
-400.0,400,607.197515
-400.0,400,607.670588
-400.0,400,616.489319
-400.0,400,616.949383
-400.0,400,617.409166
-400.0,400,617.86886
-400.0,400,618.328993
-400.0,400,618.789406
-400.0,400,627.870783
-400.0,400,628.347293
-400.0,400,628.824126
-400.0,400,629.303538
-400.0,400,629.781862
-400.0,400,664.650599
-400.0,400,665.116504
-400.0,400,665.577845
-400.0,400,666.038645
-400.0,400,666.499289
-400.0,400,675.182544
-400.0,400,675.642967
-400.0,400,676.104073
-400.0,400,676.564413
-400.0,400,677.025629
-400.0,400,686.004957
-400.0,400,686.485579
-400.0,400,686.966783
-400.0,400,687.450213
-400.0,400,687.931522
-400.0,400,696.959706
-400.0,400,697.434278
-400.0,400,697.90844
-400.0,400,698.37911
-400.0,400,698.853377
-400.0,400,707.705288
-400.0,400,708.166858
-400.0,400,708.628043
-400.0,400,709.088884
-400.0,400,709.551436
-400.0,400,718.563646
-400.0,400,719.043892
-400.0,400,719.525047
-400.0,400,720.006734
-400.0,400,720.48644
-400.0,400,729.314505
-400.0,400,729.777623
-400.0,400,730.237665
-400.0,400,730.699161
-400.0,400,731.16003
-400.0,400,740.104121
-400.0,400,740.577211
-400.0,400,741.04708
-400.0,400,741.517386
-400.0,400,741.986932
-400.0,400,742.45625
-400.0,400,751.467784
-400.0,400,751.938472
-400.0,400,752.409377
-400.0,400,752.880892
-400.0,400,753.348655
-400.0,400,761.670973
-400.0,400,762.151368
-400.0,400,762.631162
-400.0,400,763.112189
-400.0,400,763.592738
-400.0,400,772.172581
-400.0,400,772.634047
-400.0,400,773.094301
-400.0,400,773.554579
-400.0,400,774.014591
-400.0,400,782.003936
-400.0,400,782.472426
-400.0,400,782.94098
-400.0,400,783.407123
-400.0,400,783.875495
-400.0,400,792.50313
-400.0,400,792.964525
-400.0,400,793.422694
-400.0,400,793.88356
-400.0,400,794.344294
-400.0,400,802.20357
-400.0,400,802.665285
-400.0,400,803.128035
-400.0,400,803.589688
-400.0,400,804.055218
-400.0,400,811.403154
-400.0,400,811.865366
-400.0,400,812.32845
-400.0,400,812.79131
-400.0,400,813.253701
-400.0,400,821.388912
-400.0,400,821.860659
-400.0,400,822.331181
-400.0,400,822.802117
-400.0,400,823.273041
-400.0,400,823.743365
-400.0,400,832.68074
-400.0,400,833.155628
-400.0,400,833.625832
-400.0,400,834.0954
-400.0,400,834.564709
-400.0,400,843.510701
-400.0,400,843.978966
-400.0,400,844.448805
-400.0,400,844.921202
-400.0,400,845.392316
-400.0,400,854.202327
-400.0,400,854.662767
-400.0,400,855.124843
-400.0,400,855.58503
-400.0,400,856.045337
-400.0,400,864.9185
-400.0,400,865.379918
-400.0,400,865.841542
-400.0,400,866.302644
-400.0,400,866.764489
-400.0,400,875.603924
-400.0,400,876.064613
-400.0,400,876.524929
-400.0,400,876.982771
-400.0,400,877.443408
-400.0,400,885.511163
-400.0,400,885.974312
-400.0,400,886.435626
-400.0,400,886.896659
-400.0,400,887.358013
-400.0,400,895.776375
-400.0,400,896.236485
-400.0,400,896.697173
-400.0,400,897.157165
-400.0,400,897.617024
-400.0,400,905.711911
-400.0,400,906.174401
-400.0,400,906.636437
-400.0,400,907.098816
-400.0,400,907.557254
-400.0,400,908.019037
-400.0,400,916.717773
-400.0,400,917.187006
-400.0,400,917.656209
-400.0,400,918.126507
-400.0,400,918.59538
-400.0,400,954.598619
-400.0,400,955.062357
-400.0,400,955.523959
-400.0,400,955.986299
-400.0,400,956.447968
-400.0,400,964.30697
-400.0,400,964.769589
-400.0,400,965.231431
-400.0,400,965.69259
-400.0,400,966.152084
-400.0,400,973.250491
-400.0,400,973.712553
-400.0,400,974.171562
-400.0,400,974.633068
-400.0,400,975.09714
-400.0,400,982.160455
-400.0,400,982.621473
-400.0,400,983.083369
-400.0,400,983.547267
-400.0,400,984.010914
-400.0,400,991.166925
-400.0,400,991.636555
-400.0,400,992.106838
-400.0,400,992.576936
-400.0,400,993.046914
-400.0,400,999.959205
-400.0,400,1000.430129
-400.0,400,1000.90055
-400.0,400,1001.370565
-400.0,400,1001.841848
-400.0,400,1008.633605
-400.0,400,1009.095207
-400.0,400,1009.557266
-400.0,400,1010.020465
-400.0,400,1010.482318
-400.0,400,1017.319652
-400.0,400,1017.803264
-400.0,400,1018.28429
-400.0,400,1018.764778
-400.0,400,1019.244915
-400.0,400,1019.722527
-400.0,400,1026.531677
-400.0,400,1026.996739
-400.0,400,1027.45905
-400.0,400,1027.921183
-400.0,400,1028.383195
-400.0,400,1035.160377
-400.0,400,1035.622755
-400.0,400,1036.085271
-400.0,400,1036.548058
-400.0,400,1037.010998
-400.0,400,1043.922839
-400.0,400,1044.395469
-400.0,400,1044.865558
-400.0,400,1045.335002
-400.0,400,1045.804696
-400.0,400,1052.621118
-400.0,400,1053.092166
-400.0,400,1053.562763
-400.0,400,1054.033361
-400.0,400,1054.503713
-400.0,400,1061.363702
-400.0,400,1061.826254
-400.0,400,1062.287987
-400.0,400,1062.746838
-400.0,400,1063.208443
-400.0,400,1070.005453
-400.0,400,1070.482596
-400.0,400,1070.959311
-400.0,400,1071.436758
-400.0,400,1071.914415
-400.0,400,1078.742831
-400.0,400,1079.204588
-400.0,400,1079.665798
-400.0,400,1080.129323
-400.0,400,1080.591205
-400.0,400,1087.324479
-400.0,400,1087.783248
-400.0,400,1088.245355
-400.0,400,1088.707359
-400.0,400,1089.169376
-400.0,400,1089.63127
-400.0,400,1096.442697
-400.0,400,1096.912375
-400.0,400,1097.381474
-400.0,400,1097.85129
-400.0,400,1098.318077
-400.0,400,1105.146597
-400.0,400,1105.61649
-400.0,400,1106.086886
-400.0,400,1106.55674
-400.0,400,1107.026914
-400.0,400,1113.83285
-400.0,400,1114.292554
-400.0,400,1114.75263
-400.0,400,1115.214646
-400.0,400,1115.67498
-400.0,400,1122.440881
-400.0,400,1122.903518
-400.0,400,1123.365741
-400.0,400,1123.82532
-400.0,400,1124.288301
-400.0,400,1131.034357
-400.0,400,1131.495473
-400.0,400,1131.956981
-400.0,400,1132.41898
-400.0,400,1132.880985
-400.0,400,1139.615803
-400.0,400,1140.078976
-400.0,400,1140.541154
-400.0,400,1141.002458
-400.0,400,1141.464337
-400.0,400,1148.171584
-400.0,400,1148.632082
-400.0,400,1149.092739
-400.0,400,1149.553061
-400.0,400,1150.014893
-400.0,400,1156.80309
-400.0,400,1157.283921
-400.0,400,1157.76443
-400.0,400,1158.245085
-400.0,400,1158.725556
-400.0,400,1159.20654
-400.0,400,1165.90059
-400.0,400,1166.36136
-400.0,400,1166.822662
-400.0,400,1167.283815
-400.0,400,1167.745217
-400.0,400,1188.61786
-400.0,400,1189.078787
-400.0,400,1189.538694
-400.0,400,1190.002284
-400.0,400,1190.462767
-400.0,400,1197.184115
-400.0,400,1197.645217
-400.0,400,1198.107725
-400.0,400,1198.569117
-400.0,400,1199.030529
-400.0,400,1205.721107
-400.0,400,1206.18844
-400.0,400,1206.650689
-400.0,400,1207.112554
-400.0,400,1207.574618
-400.0,400,1214.286459
-400.0,400,1214.748231
-400.0,400,1215.20781
-400.0,400,1215.667673
-400.0,400,1216.127705
-400.0,400,1222.847083
-400.0,400,1223.308447
-400.0,400,1223.77368
-400.0,400,1224.235076
-400.0,400,1224.696735
-400.0,400,1231.443703
-400.0,400,1231.905513
-400.0,400,1232.366343
-400.0,400,1232.82829
-400.0,400,1233.290046
-400.0,400,1240.040397
-400.0,400,1240.497089
-400.0,400,1240.955843
-400.0,400,1241.415422
-400.0,400,1241.875803
-400.0,400,1248.671597
-400.0,400,1249.144063
-400.0,400,1249.615833
-400.0,400,1250.08692
-400.0,400,1250.556721
-400.0,400,1251.026783
-400.0,400,1257.837668
-400.0,400,1258.307296
-400.0,400,1258.77778
-400.0,400,1259.247701
-400.0,400,1259.722673
-400.0,400,1266.479697
-400.0,400,1266.940092
-400.0,400,1267.400226
-400.0,400,1267.860735
-400.0,400,1268.321083
-400.0,400,1275.13119
-400.0,400,1275.593704
-400.0,400,1276.054327
-400.0,400,1276.516733
-400.0,400,1276.979435
-400.0,400,1283.88279
-400.0,400,1284.363649
-400.0,400,1284.843918
-400.0,400,1285.325249
-400.0,400,1285.805295
-400.0,400,1292.597602
-400.0,400,1293.055793
-400.0,400,1293.516367
-400.0,400,1293.977051
-400.0,400,1294.43784
-400.0,400,1301.190567
-400.0,400,1301.65334
-400.0,400,1302.11546
-400.0,400,1302.574385
-400.0,400,1303.03624
-400.0,400,1309.769372
-400.0,400,1310.232388
-400.0,400,1310.693433
-400.0,400,1311.154384
-400.0,400,1311.614812
-400.0,400,1318.370516
-400.0,400,1318.840199
-400.0,400,1319.309316
-400.0,400,1319.780829
-400.0,400,1320.250142
-400.0,400,1320.71906
-400.0,400,1327.57075
-400.0,400,1328.04185
-400.0,400,1328.512799
-400.0,400,1328.983237
-400.0,400,1329.453548
-400.0,400,1336.171881
-400.0,400,1336.629452
-400.0,400,1337.089942
